Trial_Number,Flex0_or_Spec1,Transition_Prob,First_Choice,RT1,Second_Choice,RT2,Reward,Winning_Resource
1,0,0.7,0,0,0,0,1,NaN
2,0,0.3,0,0,1,0,1,NaN
3,0,0.7,0,0,0,0,1,NaN
4,0,0.3,0,0,1,0,1,NaN
5,0,0.7,0,0,0,0,0,NaN
6,0,0.7,0,0,0,0,0,NaN
7,0,0.3,0,0,1,0,0,NaN
8,0,0.7,0,0,0,0,0,NaN
9,0,0.7,1,0,1,0,1,NaN
10,0,0.3,1,0,1,0,0,NaN
11,1,0.7,0,0,0,0,1,0.5
12,0,0.3,0,0,0,0,1,NaN
13,1,0.7,1,0,0,0,0,0.5
14,0,0.3,0,0,1,0,1,NaN
15,1,0.7,0,0,0,0,1,0.5
16,0,0.7,0,0,1,0,0,NaN
17,0,0.7,1,0,1,0,1,NaN
18,0,0.3,1,0,1,0,0,NaN
19,0,0.7,1,0,0,0,1,NaN
20,1,0.7,1,0,0,0,1,1
21,0,0.3,1,0,1,0,0,NaN
22,0,0.7,1,0,0,0,1,NaN
23,1,0.7,1,0,1,0,1,0.5
24,0,0.7,1,0,0,0,1,NaN
25,0,0.3,0,0,1,0,1,NaN
26,1,0.7,0,0,1,0,1,0
27,0,0.7,0,0,0,0,0,NaN
28,1,0.7,0,0,1,0,0,0.5
29,0,0.7,1,0,1,0,1,NaN
30,1,0.7,1,0,0,0,1,1
31,0,0.7,0,0,0,0,0,NaN
32,1,0.7,1,0,0,0,1,1
33,0,0.7,0,0,1,0,1,NaN
34,1,0.7,1,0,0,0,1,0.5
35,0,0.3,0,0,1,0,0,NaN
36,0,0.7,0,0,0,0,1,NaN
37,0,0.7,0,0,1,0,1,NaN
38,0,0.3,0,0,1,0,1,NaN
39,0,0.7,0,0,1,0,1,NaN
40,0,0.3,0,0,0,0,1,NaN
41,0,0.7,0,0,1,0,0,NaN
42,1,0.7,0,0,1,0,1,0
43,0,0.7,0,0,1,0,1,NaN
44,0,0.3,0,0,0,0,0,NaN
45,1,0.7,1,0,0,0,1,1
46,0,0.7,0,0,1,0,1,NaN
47,0,0.7,0,0,1,0,0,NaN
48,0,0.3,0,0,1,0,0,NaN
49,1,0.7,0,0,1,0,1,0
50,0,0.7,0,0,1,0,1,NaN
51,1,0.7,0,0,0,0,1,0.5
52,0,0.3,0,0,1,0,0,NaN
53,1,0.7,0,0,1,0,1,0.5
54,0,0.3,0,0,0,0,1,NaN
55,1,0.7,0,0,0,0,1,0.5
56,0,0.7,0,0,1,0,0,NaN
57,0,0.3,0,0,0,0,1,NaN
58,0,0.7,0,0,1,0,0,NaN
59,1,0.7,0,0,1,0,1,1
60,0,0.3,0,0,0,0,0,NaN
61,1,0.7,1,0,1,0,1,0
62,0,0.7,0,0,1,0,0,NaN
63,0,0.3,1,0,0,0,0,NaN
64,0,0.7,1,0,1,0,1,NaN
65,0,0.3,1,0,1,0,0,NaN
66,0,0.7,1,0,1,0,0,NaN
67,1,0.7,1,0,1,0,0,1
